Specificity,Sensitivity,Balanced Accuracy,F1
0.5601659751037344,0.9905721296655045,0.7753690523846194,0.98176
0.5412844036697247,0.9901142637052254,0.7656993336874751,0.9823578116043564
0.6405919661733616,0.983359133126935,0.8119755496501483,0.9807655194596332
0.5581395348837209,0.9903250773993808,0.7742323061415508,0.9818391098605959
0.5512295081967213,0.9917280599715652,0.7714787840841433,0.9818926354853158
0.5925925925925926,0.991471766378085,0.7920321794853388,0.9830877642536836
0.3076923076923077,0.9949890787614032,0.6513406932268554,0.97821006758037
0.494824016563147,0.9917334022216482,0.7432787093923976,0.9803370786516854
0.6346938775510204,0.9879767291531998,0.8113353033521099,0.9825147852918488
0.3569979716024341,0.9965080186239008,0.6767529951131674,0.9781642757394948
