Specificity,Sensitivity,Balanced Accuracy,F1
0.7003584229390681,0.5892572521517373,0.6448078375454027,0.6841861756269085
0.9931899641577061,0.00653490596110934,0.49986243505940775,0.012946005683612252
0.6612903225806451,0.5302837105514823,0.5957870165660637,0.630950123269486
0.668100358422939,0.5843162256933376,0.6262082920581383,0.6747653230259525
0.7347670250896058,0.5401657634682818,0.6374663942789438,0.6515428241853312
0.7021505376344086,0.4853363085750717,0.5937434231047402,0.6
0.682078853046595,0.4893210073318457,0.5856999301892203,0.6001368390186688
0.717562724014337,0.5411220911699075,0.6293424075921222,0.6493258104618915
0.6835125448028674,0.5181702263308894,0.6008413855668784,0.6247117601844735
0.674910394265233,0.539368823716927,0.60713960899108,0.6406057737813535
0.7340501792114695,0.5243863563914568,0.6292182678014632,0.6384630312439356
0.6458781362007169,0.5820847943895442,0.6139814652951305,0.6692321788528496
0.7164874551971326,0.5278928912974179,0.6221901732472752,0.6383347788378143
0.6942652329749104,0.5416002550207204,0.6179327439978154,0.6457007125890735
0.7559139784946236,0.4874083519285942,0.6216611652116089,0.6108059522620594
0.706810035842294,0.5296461587503984,0.6182280972963462,0.6381180988958234
0.685663082437276,0.5087663372649027,0.5972147098510894,0.6172290437977376
0.8308243727598567,0.3812559770481352,0.6060401749039959,0.523528124316043
0.671326164874552,0.5693337583678674,0.6203299616212097,0.6637554585152838
0.7229390681003585,0.5639145680586548,0.6434268180795066,0.6684931506849316
0.7731182795698924,0.39352884921899906,0.5833235643944458,0.5266638225255973
0.6634408602150538,0.5567421102964616,0.6100914852557577,0.6525312908649354
0.7121863799283155,0.5267771756455212,0.6194817777869184,0.6366788672702755
0.589605734767025,0.5857507172457762,0.5876782260064006,0.662520281233099
0.6731182795698925,0.7743066624163213,0.7237124709931069,0.8067087346396546
0.6695340501792114,0.5835192859419828,0.6265266680605971,0.6744036105738234
0.6870967741935484,0.5699713101689512,0.6285340421812498,0.6669775249463769
0.6136200716845878,0.5844756136436086,0.5990478426640982,0.6655776386241946
0.7053763440860215,0.5757092763787057,0.6405428102323636,0.674635786327979
0.8043010752688172,0.3045903729678036,0.5544457241183104,0.43775054403848357
