Specificity,Sensitivity,Balanced Accuracy,F1
0.6798336798336798,0.9597107438016529,0.8197722118176664,0.9696020874103065
0.9619686800894854,0.8758035484700437,0.9188861142797646,0.9327034983227219
0.9929742388758782,0.8572710951526032,0.9251226670142407,0.9229600994063234
0.9882352941176471,0.8143875567077122,0.9013114254126797,0.897315052842045
0.8997912317327766,0.9293829073069971,0.9145870695198869,0.9603148135796705
0.9354838709677419,0.9412371134020618,0.9383604921849018,0.9678017755399497
0.8629550321199143,0.9274297499355504,0.8951923910277324,0.9582473197043351
0.9387308533916849,0.9165808444902163,0.9276558489409505,0.9546795387503353
0.9186991869918699,0.945299366351998,0.9319992766719339,0.9693031890207519
0.9914712153518124,0.8398659102630222,0.9156685628074173,0.9127084209051423
