Specificity,Sensitivity,Balanced Accuracy,F1
0.8981288981288982,0.9536415289256198,0.925885213527259,0.9731189880089604
0.9642058165548099,0.9250449987143224,0.9446254076345661,0.9600373607312028
0.9695550351288056,0.924852526288792,0.9472037807087987,0.9601278040338148
0.9117647058823529,0.9447828904731044,0.9282737981777287,0.9687022393514518
0.9206680584551148,0.9444874774076943,0.9325777679314046,0.9690066225165564
0.9354838709677419,0.9414948453608247,0.9384893581642832,0.9679385267620563
0.9678800856531049,0.9075792730085074,0.9377296793308061,0.9505872823005265
0.9540481400437637,0.9270082389289392,0.9405281894863515,0.9607738492328218
0.9146341463414634,0.9525410578042157,0.9335876020728395,0.9729872531536887
0.9488272921108742,0.9363073749355337,0.942567333523204,0.9655630900146257
