Specificity,Sensitivity,Balanced Accuracy,F1
0.9874711506758984,0.9108723135271808,0.9491717321015396,0.9474030243261012
0.9777556440903055,0.9114599686028257,0.9446078063465656,0.9432981316003249
0.9831824062095731,0.8057971014492754,0.8944897538294243,0.8842551687577311
0.9792140305293927,0.9230275817831943,0.9511208061562935,0.9498349834983497
0.982605841811618,0.8552380952380952,0.9189219685248566,0.9136849245379006
0.9923542529467984,0.8361674296926096,0.914260841319704,0.9068983862386948
0.9848484848484849,0.9130022144890857,0.9489253496687853,0.9473165928114229
0.9732585011554968,0.92739898989899,0.9503287455272433,0.9497333117827703
0.9803214168579862,0.9018424396442185,0.9410819282511024,0.9389780056226228
0.9288315127441245,0.9215994962216625,0.9252155044828935,0.9265590376701488
