Specificity,Sensitivity,Balanced Accuracy,F1
0.9147609147609148,0.9524793388429752,0.9336201268019451,0.9730228876723171
0.9284116331096197,0.9381589097454358,0.9332852714275277,0.9660422320778448
0.9086651053864169,0.9303667607078738,0.9195159330471454,0.9614365226610124
0.9980392156862745,0.7169151004536617,0.857477158069968,0.8350569940363856
0.9311064718162839,0.943712884069197,0.9374096779427404,0.9689177546557095
0.9655913978494624,0.8923969072164949,0.9289941525329786,0.9421127814434394
0.9850107066381156,0.8620778551172983,0.923544280877707,0.9254825987684218
0.9606126914660832,0.9115602471678682,0.9360864693169757,0.9525795385753683
0.983739837398374,0.885038148196043,0.9343889927972084,0.9384984573191635
0.9850746268656716,0.8688757091284167,0.9269751679970442,0.9293890497862364
