Specificity,Sensitivity,Balanced Accuracy,F1
0.7551971326164875,0.5567421102964616,0.6559696214564745,0.6685167464114833
0.7103942652329749,0.570608861970035,0.640501563601505,0.6715438004126805
0.750179211469534,0.5849537774944215,0.6675664944819777,0.6897847946621558
0.7397849462365591,0.5650302837105515,0.6524076149735554,0.6723565670934093
0.7835125448028674,0.5686962065667835,0.6761043756848255,0.6831322994447635
0.692831541218638,0.5529167994899585,0.6228741703542983,0.6545283018867925
0.7867383512544803,0.5414408670704495,0.6640896091624648,0.6617962205338009
0.8003584229390681,0.5145043034746574,0.6574313632068627,0.641813301521026
0.6759856630824372,0.5929231750079694,0.6344544190452033,0.6826940723068453
0.7784946236559139,0.48453936882371695,0.6315169962398155,0.6121627064035442
0.8125448028673835,0.4614281160344278,0.6369864594509056,0.597399917457697
0.7362007168458782,0.5444692381255977,0.6403349774857379,0.655284864761174
0.7369175627240143,0.535224737009882,0.6360711498669482,0.647887323943662
0.7003584229390681,0.5310806503028371,0.6157195366209527,0.6381919172572305
0.6039426523297491,0.8570290086069493,0.7304858304683493,0.8430542489808717
0.30286738351254483,0.945011157156519,0.6239392703345319,0.8381396663839411
0.6802867383512545,0.5715651896716608,0.6259259640114576,0.6670386904761904
0.7118279569892473,0.5372967803634046,0.624562368676326,0.645229208536702
0.7322580645161291,0.5653490596110934,0.6488035620636112,0.6712717638152914
0.6731182795698925,0.6007331845712464,0.6369257320705695,0.6880876312186216
0.7827956989247312,0.4563277016257571,0.6195617002752442,0.587703992610079
0.7247311827956989,0.571246413771119,0.6479887982834089,0.6745718050065876
0.7408602150537634,0.5231112527892892,0.6319857339215262,0.6385835197976457
0.8433691756272401,0.4196684730634364,0.6315188243453382,0.563570205479452
0.7412186379928315,0.5416002550207204,0.6414094465067759,0.653838753126804
0.7351254480286739,0.5508447561364361,0.642985102082555,0.6602349794631771
0.7240143369175627,0.5605674211029646,0.6422908790102637,0.6660354133131332
0.6541218637992832,0.5478163850812878,0.6009691244402855,0.6438741101536156
0.76415770609319,0.4759324195090851,0.6200450628011376,0.6021375277273644
0.7225806451612903,0.602167676123685,0.6623741606424877,0.697949381119527
