Specificity,Sensitivity,Balanced Accuracy,F1
0.8728813559322034,0.9186191167323243,0.8957502363322638,0.949121679520137
0.8529188779378317,0.9180259740259741,0.8854724259819029,0.947306352184401
0.8709439528023599,0.9057154776804339,0.8883297152413969,0.9415081042988019
0.845642540620384,0.932533889468196,0.88908821504429,0.9543271795966279
0.8819497334348819,0.9182847056380438,0.9001172195364628,0.9494363929146538
0.8725190839694656,0.8772057297072867,0.8748624068383761,0.92603550295858
0.8636693255982596,0.9326711970726608,0.8981702613354602,0.9554460747563457
0.852760736196319,0.9264522821576764,0.8896065091769977,0.9519799605606778
0.9823754789272031,0.6791160908807967,0.8307457849039999,0.8077492596248765
0.8590909090909091,0.9302784704904405,0.8946846897906748,0.9543250013324095
0.875945537065053,0.9199750571606734,0.8979602971128632,0.9498873269664126
0.875951293759513,0.9241952232606438,0.9000732585100784,0.9522281067779383
0.858139534883721,0.9310130515848353,0.8945762932342781,0.9549003984063744
0.8704422032583398,0.9132055929570171,0.8918238981076785,0.9460807983260904
0.8769230769230769,0.9228535877229366,0.8998883323230067,0.9516680923866553
0.8395348837209302,0.9338098197638285,0.8866723517423793,0.9551811824539097
0.8496634255796559,0.925575101488498,0.8876192635340769,0.9510160427807486
0.8670694864048338,0.9074844074844075,0.8872769469446207,0.9424592464644284
0.846444780635401,0.9198711286634795,0.8831579546494402,0.947847504819019
0.7566568047337278,0.9396371976647206,0.8481470011992243,0.9520439421147143
0.979529946929492,0.659012987012987,0.8192714669712395,0.7931228508909034
0.8727409638554217,0.9257487520798668,0.8992448579676442,0.9527478996093541
0.8771031455742502,0.9181372037172392,0.8976201746457446,0.9486460243823499
