Specificity,Sensitivity,Balanced Accuracy,F1
0.9795581932080448,0.8972819216182049,0.9384200574131248,0.9361912613355318
0.9860557768924303,0.8508634222919937,0.918459599592212,0.9129189826511708
0.9683053040103493,0.9194847020933977,0.9438950030518736,0.9425552987784748
0.976940565118545,0.9121231558691469,0.944531860493846,0.9428145201392342
0.975057433541188,0.9231746031746032,0.9491160183578956,0.9481578089338115
0.9907613889773813,0.7926749509483323,0.8917181699628568,0.879695155144257
0.9578392621870883,0.8807339449541285,0.9192866035706084,0.9168450518689281
0.9250577748431825,0.9453914141414141,0.9352245944922983,0.9374021909233177
0.9311249590029518,0.9253494282083863,0.928237193605669,0.9290384308722692
0.9781529294935452,0.8951511335012594,0.9366520314974023,0.93442892358258
